  Year     Month    Anomaly  Unc       Anomaly    Unc       Anomaly    Unc       Anomaly    Unc       Anomaly    Unc
  1850     1    -0.760  0.435       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1850     2    -0.207  0.420       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1850     3    -0.370  0.353       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1850     4    -0.605  0.284       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1850     5    -0.632  0.293       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1850     6    -0.350  0.310    -0.443  0.155       NaN    NaN       NaN    NaN       NaN    NaN
  1850     7    -0.175  0.273    -0.394  0.153       NaN    NaN       NaN    NaN       NaN    NaN
  1850     8    -0.167  0.288    -0.410  0.160       NaN    NaN       NaN    NaN       NaN    NaN
  1850     9    -0.423  0.276    -0.426  0.167       NaN    NaN       NaN    NaN       NaN    NaN
  1850    10    -0.584  0.319    -0.429  0.170       NaN    NaN       NaN    NaN       NaN    NaN
  1850    11    -0.564  0.356    -0.404  0.170       NaN    NaN       NaN    NaN       NaN    NaN
  1850    12    -0.482  0.389    -0.396  0.168       NaN    NaN       NaN    NaN       NaN    NaN
  1851     1    -0.167  0.371    -0.400  0.163       NaN    NaN       NaN    NaN       NaN    NaN
  1851     2    -0.406  0.342    -0.412  0.168       NaN    NaN       NaN    NaN       NaN    NaN
  1851     3    -0.561  0.292    -0.409  0.172       NaN    NaN       NaN    NaN       NaN    NaN
  1851     4    -0.632  0.372    -0.372  0.167       NaN    NaN       NaN    NaN       NaN    NaN
  1851     5    -0.338  0.328    -0.356  0.174       NaN    NaN       NaN    NaN       NaN    NaN
  1851     6    -0.255  0.301    -0.328  0.181       NaN    NaN       NaN    NaN       NaN    NaN
  1851     7    -0.217  0.235    -0.334  0.176       NaN    NaN       NaN    NaN       NaN    NaN
  1851     8    -0.309  0.287    -0.343  0.187       NaN    NaN       NaN    NaN       NaN    NaN
  1851     9    -0.394  0.314    -0.359  0.180       NaN    NaN       NaN    NaN       NaN    NaN
  1851    10    -0.139  0.278    -0.351  0.160       NaN    NaN       NaN    NaN       NaN    NaN
  1851    11    -0.372  0.392    -0.336  0.154       NaN    NaN       NaN    NaN       NaN    NaN
  1851    12    -0.146  0.271    -0.325  0.148       NaN    NaN       NaN    NaN       NaN    NaN
  1852     1    -0.243  0.392    -0.310  0.146       NaN    NaN       NaN    NaN       NaN    NaN
  1852     2    -0.506  0.375    -0.313  0.149       NaN    NaN       NaN    NaN       NaN    NaN
  1852     3    -0.758  0.304    -0.306  0.145       NaN    NaN       NaN    NaN       NaN    NaN
  1852     4    -0.539  0.281    -0.307  0.142       NaN    NaN       NaN    NaN       NaN    NaN
  1852     5    -0.158  0.261    -0.321  0.144       NaN    NaN       NaN    NaN       NaN    NaN
  1852     6    -0.115  0.268    -0.301  0.148    -0.334  0.121       NaN    NaN       NaN    NaN
  1852     7    -0.039  0.227    -0.304  0.144    -0.322  0.121       NaN    NaN       NaN    NaN
  1852     8    -0.351  0.300    -0.291  0.145    -0.321  0.122       NaN    NaN       NaN    NaN
  1852     9    -0.303  0.214    -0.261  0.142    -0.319  0.123       NaN    NaN       NaN    NaN
  1852    10    -0.156  0.255    -0.239  0.153    -0.311  0.120       NaN    NaN       NaN    NaN
  1852    11    -0.533  0.316    -0.248  0.155    -0.304  0.119       NaN    NaN       NaN    NaN
  1852    12     0.084  0.436    -0.253  0.159    -0.304  0.117       NaN    NaN       NaN    NaN
  1853     1    -0.271  0.397    -0.247  0.167    -0.307  0.117       NaN    NaN       NaN    NaN
  1853     2    -0.357  0.532    -0.222  0.165    -0.308  0.117       NaN    NaN       NaN    NaN
  1853     3    -0.395  0.296    -0.230  0.164    -0.309  0.116       NaN    NaN       NaN    NaN
  1853     4    -0.275  0.346    -0.256  0.166    -0.305  0.115       NaN    NaN       NaN    NaN
  1853     5    -0.268  0.278    -0.265  0.159    -0.301  0.115       NaN    NaN       NaN    NaN
  1853     6    -0.173  0.293    -0.299  0.167    -0.302  0.117       NaN    NaN       NaN    NaN
  1853     7     0.036  0.236    -0.322  0.166    -0.299  0.115       NaN    NaN       NaN    NaN
  1853     8    -0.056  0.248    -0.342  0.148    -0.299  0.117       NaN    NaN       NaN    NaN
  1853     9    -0.400  0.224    -0.331  0.146    -0.297  0.117       NaN    NaN       NaN    NaN
  1853    10    -0.466  0.232    -0.343  0.136    -0.293  0.115       NaN    NaN       NaN    NaN
  1853    11    -0.642  0.297    -0.344  0.139    -0.293  0.114       NaN    NaN       NaN    NaN
  1853    12    -0.323  0.285    -0.369  0.140    -0.291  0.112       NaN    NaN       NaN    NaN
  1854     1    -0.552  0.402    -0.387  0.141    -0.291  0.113       NaN    NaN       NaN    NaN
  1854     2    -0.587  0.352    -0.398  0.141    -0.295  0.113       NaN    NaN       NaN    NaN
  1854     3    -0.273  0.270    -0.386  0.140    -0.300  0.113       NaN    NaN       NaN    NaN
  1854     4    -0.410  0.320    -0.337  0.143    -0.309  0.112       NaN    NaN       NaN    NaN
  1854     5    -0.285  0.258    -0.303  0.145    -0.313  0.111       NaN    NaN       NaN    NaN
  1854     6    -0.467  0.304    -0.297  0.146    -0.317  0.112       NaN    NaN       NaN    NaN
  1854     7    -0.179  0.257    -0.257  0.150    -0.322  0.111       NaN    NaN       NaN    NaN
  1854     8    -0.193  0.225    -0.220  0.151    -0.323  0.112       NaN    NaN       NaN    NaN
  1854     9    -0.253  0.235    -0.219  0.148    -0.320  0.113       NaN    NaN       NaN    NaN
  1854    10     0.114  0.284    -0.191  0.149    -0.325  0.116       NaN    NaN       NaN    NaN
  1854    11    -0.231  0.340    -0.187  0.144    -0.335  0.115       NaN    NaN       NaN    NaN
  1854    12    -0.243  0.288    -0.176  0.135    -0.342  0.114    -0.346  0.108       NaN    NaN
  1855     1    -0.071  0.470    -0.192  0.134    -0.350  0.114    -0.342  0.107       NaN    NaN
  1855     2    -0.144  0.353    -0.196  0.136    -0.352  0.114    -0.343  0.108       NaN    NaN
  1855     3    -0.264  0.271    -0.215  0.135    -0.355  0.114    -0.346  0.108       NaN    NaN
  1855     4    -0.078  0.317    -0.250  0.136    -0.361  0.114    -0.343  0.107       NaN    NaN
  1855     5    -0.229  0.258    -0.262  0.135    -0.360  0.110    -0.340  0.106       NaN    NaN
  1855     6    -0.336  0.244    -0.287  0.135    -0.366  0.111    -0.338  0.106       NaN    NaN
  1855     7    -0.373  0.233    -0.279  0.135    -0.365  0.114    -0.339  0.105       NaN    NaN
  1855     8    -0.248  0.248    -0.300  0.137    -0.367  0.115    -0.340  0.105       NaN    NaN
  1855     9    -0.475  0.216    -0.312  0.147    -0.365  0.117    -0.338  0.105       NaN    NaN
  1855    10    -0.303  0.257    -0.340  0.149    -0.365  0.117    -0.336  0.104       NaN    NaN
  1855    11    -0.381  0.274    -0.349  0.151    -0.368  0.117    -0.336  0.105       NaN    NaN
  1855    12    -0.541  0.299    -0.332  0.153    -0.369  0.116    -0.339  0.107       NaN    NaN
  1856     1     0.023  0.332    -0.322  0.155    -0.375  0.117    -0.346  0.106       NaN    NaN
  1856     2    -0.394  0.366    -0.345  0.153    -0.380  0.117    -0.348  0.107       NaN    NaN
  1856     3    -0.411  0.363    -0.365  0.154    -0.381  0.118    -0.348  0.107       NaN    NaN
  1856     4    -0.412  0.241    -0.396  0.155    -0.378  0.119    -0.347  0.107       NaN    NaN
  1856     5    -0.340  0.242    -0.411  0.153    -0.370  0.119    -0.348  0.106       NaN    NaN
  1856     6    -0.130  0.243    -0.402  0.165    -0.373  0.119    -0.349  0.105       NaN    NaN
  1856     7    -0.248  0.273    -0.448  0.163    -0.370  0.119    -0.349  0.106       NaN    NaN
  1856     8    -0.524  0.267    -0.460  0.173    -0.365  0.123    -0.349  0.106       NaN    NaN
  1856     9    -0.717  0.263    -0.479  0.169    -0.364  0.123    -0.349  0.106       NaN    NaN
  1856    10    -0.671  0.273    -0.512  0.175    -0.357  0.124    -0.352  0.106       NaN    NaN
  1856    11    -0.570  0.315    -0.547  0.169    -0.352  0.123    -0.350  0.106       NaN    NaN
  1856    12    -0.431  0.474    -0.583  0.163    -0.346  0.122    -0.352  0.106       NaN    NaN
  1857     1    -0.521  0.334    -0.603  0.153    -0.349  0.121    -0.358  0.106       NaN    NaN
  1857     2    -0.549  0.326    -0.598  0.157    -0.351  0.122    -0.360  0.107       NaN    NaN
  1857     3    -0.629  0.311    -0.578  0.160    -0.356  0.123    -0.358  0.108       NaN    NaN
  1857     4    -0.819  0.294    -0.566  0.160    -0.362  0.122    -0.358  0.108       NaN    NaN
  1857     5    -0.755  0.228    -0.560  0.146    -0.361  0.124    -0.360  0.108       NaN    NaN
  1857     6    -0.556  0.223    -0.543  0.138    -0.358  0.121    -0.361  0.107       NaN    NaN
  1857     7    -0.499  0.211    -0.517  0.158    -0.363  0.122    -0.364  0.107       NaN    NaN
  1857     8    -0.457  0.233    -0.513  0.157    -0.365  0.124    -0.366  0.108       NaN    NaN
  1857     9    -0.481  0.218    -0.486  0.153    -0.372  0.123    -0.368  0.108       NaN    NaN
  1857    10    -0.526  0.243    -0.441  0.136    -0.376  0.123    -0.371  0.108       NaN    NaN
  1857    11    -0.494  0.329    -0.412  0.139    -0.375  0.124    -0.371  0.107       NaN    NaN
  1857    12    -0.227  0.324    -0.388  0.140    -0.373  0.124    -0.379  0.106       NaN    NaN
  1858     1    -0.216  0.555    -0.372  0.147    -0.371  0.123    -0.378  0.108       NaN    NaN
  1858     2    -0.495  0.286    -0.361  0.147    -0.371  0.122    -0.377  0.110       NaN    NaN
  1858     3    -0.307  0.244    -0.362  0.150    -0.368  0.122    -0.377  0.111       NaN    NaN
  1858     4    -0.280  0.229    -0.341  0.156    -0.368  0.122    -0.377  0.112       NaN    NaN
  1858     5    -0.411  0.251    -0.314  0.170    -0.371  0.122    -0.376  0.113       NaN    NaN
  1858     6    -0.260  0.184    -0.336  0.164    -0.376  0.122    -0.378  0.113       NaN    NaN
  1858     7    -0.317  0.237    -0.348  0.149    -0.393  0.121    -0.381  0.113       NaN    NaN
  1858     8    -0.324  0.213    -0.332  0.155    -0.397  0.124    -0.384  0.114       NaN    NaN
  1858     9    -0.484  0.228    -0.326  0.155    -0.400  0.121    -0.385  0.114       NaN    NaN
  1858    10    -0.277  0.294    -0.302  0.169    -0.401  0.121    -0.385  0.114       NaN    NaN
  1858    11    -0.173  0.253    -0.266  0.170    -0.402  0.122    -0.383  0.115       NaN    NaN
  1858    12    -0.493  0.259    -0.254  0.170    -0.406  0.121    -0.384  0.116       NaN    NaN
  1859     1    -0.354  0.364    -0.254  0.164    -0.408  0.121    -0.384  0.116       NaN    NaN
  1859     2    -0.300  0.359    -0.256  0.166    -0.402  0.122    -0.382  0.119       NaN    NaN
  1859     3    -0.242  0.271    -0.260  0.164    -0.397  0.124    -0.383  0.120       NaN    NaN
  1859     4     0.012  0.244    -0.256  0.158    -0.394  0.125    -0.383  0.120       NaN    NaN
  1859     5     0.014  0.204    -0.257  0.168    -0.388  0.125    -0.382  0.120       NaN    NaN
  1859     6    -0.113  0.223    -0.223  0.151    -0.387  0.120    -0.379  0.118       NaN    NaN
  1859     7    -0.313  0.202    -0.221  0.143    -0.394  0.121    -0.380  0.118       NaN    NaN
  1859     8    -0.355  0.231    -0.222  0.138    -0.397  0.122    -0.381  0.117       NaN    NaN
  1859     9    -0.522  0.222    -0.258  0.138    -0.396  0.120    -0.383  0.117       NaN    NaN
  1859    10    -0.233  0.243    -0.282  0.138    -0.392  0.119    -0.387  0.117       NaN    NaN
  1859    11    -0.184  0.319    -0.301  0.136    -0.384  0.120    -0.389  0.117       NaN    NaN
  1859    12    -0.088  0.348    -0.309  0.136    -0.381  0.120    -0.390  0.116    -0.331  0.113
  1860     1    -0.329  0.350    -0.305  0.140    -0.378  0.120    -0.389  0.117    -0.329  0.113
  1860     2    -0.308  0.314    -0.293  0.143    -0.380  0.121    -0.390  0.118    -0.330  0.113
  1860     3    -0.682  0.328    -0.275  0.145    -0.381  0.121    -0.391  0.119    -0.330  0.113
  1860     4    -0.272  0.204    -0.284  0.152    -0.380  0.122    -0.394  0.120    -0.328  0.113
  1860     5    -0.216  0.223    -0.312  0.159    -0.381  0.122    -0.394  0.120    -0.326  0.113
  1860     6    -0.202  0.188    -0.376  0.169    -0.392  0.123    -0.394  0.121    -0.325  0.113
  1860     7    -0.266  0.264    -0.432  0.171    -0.391  0.125    -0.393  0.121    -0.325  0.113
  1860     8    -0.216  0.287    -0.461  0.178    -0.387  0.125    -0.392  0.121    -0.325  0.114
  1860     9    -0.297  0.247    -0.452  0.174    -0.388  0.126    -0.390  0.122    -0.324  0.114
  1860    10    -0.345  0.284    -0.465  0.182    -0.388  0.128    -0.390  0.123    -0.323  0.114
  1860    11    -0.523  0.283    -0.484  0.193    -0.385  0.129    -0.388  0.122    -0.322  0.115
  1860    12    -0.855  0.357    -0.498  0.190    -0.386  0.131    -0.387  0.122    -0.323  0.115
  1861     1    -0.999  0.412    -0.503  0.186    -0.387  0.131    -0.387  0.123    -0.324  0.115
  1861     2    -0.657  0.329    -0.503  0.183    -0.388  0.132    -0.386  0.124    -0.325  0.115
  1861     3    -0.578  0.256    -0.513  0.181    -0.389  0.134    -0.387  0.123    -0.324  0.115
  1861     4    -0.427  0.326    -0.523  0.176    -0.393  0.133    -0.387  0.124    -0.322  0.115
  1861     5    -0.445  0.268    -0.497  0.169    -0.396  0.136    -0.388  0.124    -0.321  0.115
  1861     6    -0.368  0.197    -0.456  0.154    -0.395  0.139    -0.389  0.124    -0.321  0.115
  1861     7    -0.330  0.253    -0.450  0.159    -0.398  0.140    -0.386  0.124    -0.321  0.115
  1861     8    -0.210  0.247    -0.460  0.153    -0.400  0.143    -0.383  0.125    -0.321  0.116
  1861     9    -0.417  0.239    -0.457  0.152    -0.402  0.144    -0.380  0.126    -0.321  0.116
  1861    10    -0.469  0.244    -0.469  0.147    -0.409  0.145    -0.376  0.128    -0.321  0.116
  1861    11    -0.212  0.283    -0.457  0.143    -0.412  0.146    -0.372  0.128    -0.322  0.116
  1861    12    -0.358  0.258    -0.454  0.144    -0.412  0.144    -0.367  0.128    -0.323  0.117
  1862     1    -0.927  0.388    -0.457  0.138    -0.411  0.144    -0.364  0.130    -0.324  0.117
  1862     2    -0.773  0.308    -0.485  0.141    -0.411  0.143    -0.362  0.130    -0.323  0.117
  1862     3    -0.551  0.272    -0.497  0.137    -0.411  0.142    -0.359  0.130    -0.322  0.118
  1862     4    -0.567  0.282    -0.497  0.136    -0.413  0.142    -0.353  0.130    -0.321  0.118
  1862     5    -0.305  0.219    -0.526  0.139    -0.416  0.144    -0.350  0.131    -0.321  0.118
  1862     6    -0.331  0.174    -0.570  0.161    -0.422  0.143    -0.348  0.132    -0.322  0.118
  1862     7    -0.358  0.181    -0.504  0.169    -0.415  0.144    -0.345  0.133    -0.322  0.118
  1862     8    -0.546  0.255    -0.463  0.171    -0.414  0.143    -0.343  0.133    -0.321  0.118
  1862     9    -0.566  0.206    -0.446  0.172    -0.410  0.143    -0.341  0.134    -0.321  0.118
  1862    10    -0.474  0.258    -0.421  0.174    -0.412  0.145    -0.336  0.135    -0.321  0.118
  1862    11    -0.558  0.312    -0.415  0.178    -0.413  0.147    -0.330  0.137    -0.321  0.118
  1862    12    -0.884  0.402    -0.417  0.187    -0.415  0.148    -0.329  0.138    -0.323  0.118
  1863     1    -0.133  0.498    -0.419  0.192    -0.414  0.146    -0.331  0.138    -0.323  0.118
  1863     2    -0.277  0.489    -0.405  0.190    -0.414  0.146    -0.332  0.138    -0.322  0.119
  1863     3    -0.347  0.265    -0.401  0.200    -0.413  0.147    -0.332  0.138    -0.322  0.120
  1863     4    -0.269  0.240    -0.404  0.196    -0.411  0.146    -0.331  0.139    -0.322  0.120
  1863     5    -0.234  0.267    -0.388  0.206    -0.405  0.145    -0.328  0.139    -0.322  0.121
  1863     6    -0.354  0.272    -0.349  0.212    -0.398  0.144    -0.327  0.140    -0.323  0.120
  1863     7    -0.381  0.226    -0.385  0.198    -0.380  0.145    -0.324  0.140    -0.323  0.121
  1863     8    -0.380  0.260    -0.395  0.205    -0.375  0.145    -0.322  0.140    -0.324  0.121
  1863     9    -0.523  0.259    -0.398  0.208    -0.373  0.145    -0.320  0.140    -0.324  0.121
  1863    10    -0.502  0.239    -0.410  0.208    -0.374  0.145    -0.318  0.140    -0.323  0.121
  1863    11    -0.375  0.282    -0.404  0.203    -0.373  0.144    -0.319  0.141    -0.322  0.121
  1863    12    -0.411  0.380    -0.384  0.189    -0.371  0.144    -0.316  0.142    -0.321  0.121
  1864     1    -0.560  0.361    -0.370  0.184    -0.364  0.144    -0.315  0.143    -0.320  0.121
  1864     2    -0.398  0.477    -0.369  0.176    -0.364  0.144    -0.313  0.143    -0.319  0.121
  1864     3    -0.388  0.328    -0.368  0.166    -0.362  0.144    -0.314  0.144    -0.320  0.121
  1864     4    -0.415  0.274    -0.357  0.161    -0.359  0.145    -0.316  0.143    -0.320  0.121
  1864     5    -0.156  0.231    -0.358  0.162    -0.356  0.147    -0.318  0.144    -0.320  0.122
  1864     6    -0.117  0.197    -0.359  0.146    -0.348  0.150    -0.319  0.145    -0.319  0.121
  1864     7    -0.219  0.212    -0.304  0.151    -0.334  0.152    -0.318  0.145    -0.319  0.121
  1864     8    -0.365  0.216    -0.295  0.139    -0.327  0.152    -0.316  0.145    -0.319  0.121
  1864     9    -0.513  0.205    -0.298  0.137    -0.322  0.153    -0.313  0.145    -0.319  0.122
  1864    10    -0.361  0.237    -0.296  0.141    -0.315  0.155    -0.313  0.145    -0.321  0.122
  1864    11    -0.389  0.357    -0.307  0.140    -0.317  0.156    -0.313  0.145    -0.322  0.122
  1864    12    -0.430  0.270    -0.321  0.147    -0.315  0.157    -0.315  0.146    -0.322  0.122
  1865     1     0.108  0.350    -0.321  0.151    -0.312  0.158    -0.315  0.146    -0.324  0.122
  1865     2    -0.292  0.286    -0.309  0.158    -0.307  0.158    -0.316  0.146    -0.325  0.122
  1865     3    -0.422  0.309    -0.286  0.170    -0.300  0.159    -0.313  0.146    -0.325  0.122
  1865     4    -0.398  0.293    -0.274  0.177    -0.292  0.160    -0.313  0.147    -0.327  0.122
  1865     5    -0.287  0.225    -0.255  0.172    -0.278  0.164    -0.313  0.147    -0.327  0.122
  1865     6    -0.289  0.234    -0.256  0.177    -0.266  0.167    -0.312  0.147    -0.327  0.122
  1865     7    -0.210  0.251    -0.259  0.179    -0.272  0.165    -0.311  0.147    -0.326  0.122
  1865     8    -0.219  0.244    -0.263  0.184    -0.277  0.166    -0.311  0.147    -0.326  0.122
  1865     9    -0.241  0.288    -0.266  0.183    -0.277  0.165    -0.310  0.146    -0.325  0.122
  1865    10    -0.221  0.259    -0.275  0.184    -0.274  0.165    -0.310  0.146    -0.325  0.122
  1865    11    -0.159  0.263    -0.281  0.182    -0.272  0.164    -0.309  0.146    -0.326  0.122
  1865    12    -0.445  0.287    -0.279  0.180    -0.268  0.163    -0.306  0.146    -0.325  0.122
  1866     1     0.070  0.370    -0.254  0.177    -0.261  0.163    -0.303  0.147    -0.327  0.122
  1866     2    -0.341  0.329    -0.254  0.174    -0.256  0.162    -0.302  0.147    -0.326  0.123
  1866     3    -0.447  0.275    -0.260  0.170    -0.251  0.161    -0.299  0.146    -0.326  0.122
  1866     4    -0.510  0.277    -0.262  0.174    -0.243  0.162    -0.296  0.146    -0.325  0.122
  1866     5    -0.359  0.210    -0.252  0.180    -0.242  0.160    -0.295  0.145    -0.326  0.122
  1866     6    -0.268  0.191    -0.204  0.186    -0.237  0.159    -0.294  0.146    -0.327  0.122
  1866     7     0.095  0.237    -0.221  0.193    -0.231  0.161    -0.293  0.145    -0.327  0.121
  1866     8    -0.226  0.244    -0.218  0.190    -0.225  0.160    -0.293  0.145    -0.326  0.122
  1866     9    -0.309  0.242    -0.204  0.191    -0.226  0.160    -0.293  0.145    -0.324  0.122
  1866    10    -0.247  0.318    -0.173  0.193    -0.223  0.159    -0.291  0.145    -0.322  0.122
  1866    11    -0.034  0.292    -0.176  0.199    -0.224  0.159    -0.294  0.144    -0.322  0.122
  1866    12     0.125  0.355    -0.171  0.200    -0.225  0.161    -0.294  0.145    -0.323  0.121
  1867     1    -0.131  0.457    -0.196  0.204    -0.225  0.161    -0.290  0.145    -0.321  0.121
  1867     2    -0.310  0.326    -0.199  0.206    -0.222  0.163    -0.287  0.144    -0.319  0.121
  1867     3    -0.279  0.263    -0.186  0.205    -0.215  0.163    -0.285  0.144    -0.316  0.120
  1867     4    -0.139  0.295    -0.164  0.203    -0.212  0.163    -0.284  0.144    -0.314  0.120
  1867     5    -0.394  0.223    -0.139  0.216    -0.209  0.163    -0.283  0.144    -0.311  0.120
  1867     6    -0.209  0.193    -0.161  0.225    -0.208  0.164    -0.283  0.145    -0.309  0.120
  1867     7    -0.196  0.245    -0.189  0.212    -0.215  0.163    -0.281  0.145    -0.306  0.120
  1867     8    -0.269  0.254    -0.216  0.211    -0.218  0.164    -0.277  0.145    -0.303  0.120
  1867     9    -0.148  0.220    -0.218  0.206    -0.216  0.164    -0.274  0.145    -0.300  0.120
  1867    10     0.019  0.306    -0.216  0.203    -0.214  0.163    -0.271  0.145    -0.297  0.120
  1867    11     0.262  0.418    -0.191  0.202    -0.213  0.163    -0.270  0.146    -0.295  0.120
  1867    12    -0.134  0.459    -0.185  0.204    -0.209  0.163    -0.267  0.145    -0.294  0.120
  1868     1    -0.475  0.347    -0.164  0.200    -0.208  0.162    -0.269  0.143    -0.293  0.119
  1868     2    -0.629  0.289    -0.147  0.194    -0.209  0.161    -0.267  0.142    -0.289  0.119
  1868     3    -0.300  0.229    -0.157  0.193    -0.208  0.159    -0.266  0.142    -0.286  0.119
  1868     4    -0.123  0.292    -0.159  0.192    -0.209  0.158    -0.268  0.141    -0.283  0.120
  1868     5    -0.094  0.245    -0.207  0.172    -0.212  0.161    -0.268  0.141    -0.282  0.120
  1868     6    -0.130  0.201    -0.206  0.162    -0.214  0.161    -0.267  0.140    -0.280  0.120
  1868     7     0.049  0.206    -0.182  0.162    -0.225  0.160    -0.265  0.140    -0.278  0.120
  1868     8    -0.063  0.192    -0.134  0.168    -0.229  0.160    -0.264  0.140    -0.277  0.120
  1868     9    -0.264  0.204    -0.145  0.175    -0.226  0.159    -0.262  0.139    -0.275  0.120
  1868    10    -0.002  0.261    -0.157  0.166    -0.218  0.158    -0.260  0.139    -0.274  0.120
  1868    11    -0.317  0.214    -0.163  0.169    -0.217  0.159    -0.260  0.138    -0.273  0.120
  1868    12    -0.122  0.329    -0.167  0.169    -0.217  0.160    -0.259  0.137    -0.271  0.120
  1869     1    -0.193  0.351    -0.190  0.165    -0.221  0.159    -0.256  0.136    -0.270  0.120
  1869     2    -0.053  0.358    -0.200  0.172    -0.221  0.159    -0.255  0.134    -0.270  0.119
  1869     3    -0.430  0.285    -0.185  0.170    -0.223  0.159    -0.257  0.132    -0.269  0.119
  1869     4    -0.259  0.220    -0.202  0.164    -0.223  0.158    -0.257  0.132    -0.270  0.119
  1869     5    -0.171  0.241    -0.191  0.171    -0.231  0.157    -0.257  0.133    -0.271  0.119
  1869     6    -0.179  0.280    -0.213  0.163    -0.240  0.154    -0.259  0.134    -0.272  0.119
  1869     7    -0.226  0.199    -0.221  0.155    -0.245  0.150    -0.259  0.135    -0.271  0.119
  1869     8    -0.182  0.246    -0.257  0.153    -0.247  0.149    -0.258  0.135    -0.271  0.119
  1869     9    -0.081  0.192    -0.248  0.150    -0.249  0.148    -0.255  0.136    -0.270  0.118
  1869    10    -0.211  0.203    -0.250  0.158    -0.253  0.146    -0.255  0.136    -0.270  0.118
  1869    11    -0.180  0.238    -0.252  0.158    -0.249  0.145    -0.255  0.135    -0.270  0.118
  1869    12    -0.394  0.277    -0.245  0.154    -0.251  0.146    -0.254  0.136    -0.272  0.118
  1870     1    -0.290  0.271    -0.234  0.157    -0.249  0.145    -0.259  0.135    -0.272  0.118
  1870     2    -0.475  0.308    -0.242  0.156    -0.246  0.144    -0.259  0.135    -0.272  0.118
  1870     3    -0.333  0.246    -0.252  0.156    -0.247  0.144    -0.260  0.135    -0.271  0.118
  1870     4    -0.272  0.230    -0.261  0.159    -0.251  0.143    -0.259  0.134    -0.271  0.118
  1870     5    -0.200  0.218    -0.273  0.167    -0.262  0.141    -0.259  0.133    -0.271  0.118
  1870     6    -0.094  0.216    -0.288  0.165    -0.268  0.137    -0.259  0.133    -0.271  0.118
  1870     7    -0.093  0.228    -0.310  0.168    -0.266  0.135    -0.260  0.133    -0.271  0.118
  1870     8    -0.280  0.217    -0.318  0.169    -0.257  0.134    -0.260  0.132    -0.271  0.118
  1870     9    -0.198  0.184    -0.313  0.169    -0.256  0.134    -0.260  0.131    -0.272  0.118
  1870    10    -0.321  0.231    -0.296  0.165    -0.262  0.132    -0.260  0.131    -0.272  0.117
  1870    11    -0.332  0.357    -0.304  0.164    -0.265  0.133    -0.263  0.131    -0.270  0.117
  1870    12    -0.572  0.262    -0.315  0.167    -0.266  0.133    -0.263  0.131    -0.267  0.117
  1871     1    -0.546  0.310    -0.322  0.165    -0.270  0.133    -0.267  0.130    -0.264  0.117
  1871     2    -0.579  0.340    -0.316  0.163    -0.272  0.134    -0.266  0.129    -0.262  0.117
  1871     3    -0.268  0.227    -0.334  0.166    -0.274  0.133    -0.265  0.129    -0.259  0.117
  1871     4    -0.072  0.202    -0.329  0.165    -0.278  0.133    -0.263  0.128    -0.258  0.116
  1871     5    -0.289  0.218    -0.347  0.158    -0.278  0.134    -0.265  0.128    -0.256  0.116
  1871     6    -0.234  0.237    -0.332  0.158    -0.280  0.132    -0.265  0.128    -0.256  0.116
  1871     7    -0.171  0.231    -0.325  0.157    -0.280  0.129    -0.267  0.127    -0.255  0.115
  1871     8    -0.208  0.207    -0.311  0.151    -0.284  0.125    -0.268  0.127    -0.255  0.115
  1871     9    -0.412  0.218    -0.320  0.154    -0.288  0.122    -0.268  0.127    -0.255  0.115
  1871    10    -0.260  0.231    -0.345  0.151    -0.290  0.122    -0.268  0.126    -0.254  0.114
  1871    11    -0.550  0.279    -0.337  0.151    -0.290  0.124    -0.272  0.124    -0.254  0.114
  1871    12    -0.398  0.231    -0.341  0.149    -0.293  0.124    -0.278  0.123    -0.254  0.114
  1872     1    -0.457  0.362    -0.337  0.147    -0.294  0.125    -0.278  0.120    -0.249  0.114
  1872     2    -0.416  0.272    -0.325  0.146    -0.294  0.125    -0.277  0.120    -0.246  0.113
  1872     3    -0.368  0.253    -0.307  0.144    -0.295  0.125    -0.274  0.119    -0.244  0.113
  1872     4    -0.374  0.214    -0.303  0.141    -0.297  0.126    -0.274  0.118    -0.243  0.113
  1872     5    -0.198  0.222    -0.294  0.140    -0.301  0.126    -0.271  0.117    -0.243  0.112
  1872     6    -0.277  0.215    -0.302  0.145    -0.300  0.126    -0.270  0.117    -0.243  0.112
  1872     7    -0.130  0.216    -0.290  0.137    -0.303  0.125    -0.267  0.116    -0.243  0.112
  1872     8    -0.055  0.245    -0.263  0.139    -0.301  0.123    -0.263  0.116    -0.241  0.112
  1872     9    -0.204  0.199    -0.255  0.136    -0.303  0.122    -0.260  0.115    -0.240  0.112
  1872    10    -0.215  0.201    -0.263  0.139    -0.305  0.121    -0.259  0.114    -0.239  0.111
  1872    11    -0.435  0.265    -0.269  0.142    -0.306  0.120    -0.259  0.113    -0.239  0.112
  1872    12    -0.495  0.309    -0.263  0.141    -0.309  0.119    -0.259  0.111    -0.237  0.111
  1873     1    -0.311  0.241    -0.267  0.143    -0.311  0.118    -0.255  0.110    -0.238  0.110
